node,type,incident_ids
ACFT,VEHICLE,"19780111000459A, 19990213001379A"
TAKEOFF,PHASE,"19780913017419I, 19800217031649I, 19800506012169A, 19820725041999I, 19840121015319I, 19840821046409A, 19860706034879A, 19870319012959I, 19870606018859A, 19920405008919A, 19930530020029I, 19950216008379I, 19960524045629A, 19970523014439I, 19970828026989A, 19991230042089A, 20010411006739I, 20060621012279A, 20070630826079I"
ENGINE,SYS,"19780427013859I, 19791128035159A, 19800217031649I, 19801116083749I, 19840121015319I, 19840821046409A, 19850418016709I, 19860706034879A, 19871211075169A, 19880527016939A, 19890725041869I, 19940818022409A, 19950216008379I, 19971226042729I, 19991230042089A, 20030620012809I, 20040925025079A, 20051009024969I, 20070630826079I"
WING,SYS,"19800217031649I, 19901101064289I"
FUEL TANK,SYS,"19800217031649I, 19880527016939A"
WING FUEL TANK SUMPS,SYS,19800217031649I
PREFLIGHT,PROCEDURE,"19790720021329A, 19800217031649I"
HELICOPTER,VEHICLE,"19790720021329A, 20000215010329A, 20010411006739I, 20051009024969I"
SLING LOAD,OPS,19790720021329A
LOAD,OPS,19790720021329A
IMPROPER PREFLIGHT,PROCEDURE,19790720021329A
NOSEWHEEL STEERING,SYS,19841214074599I
BRAKES,SYS,"19780402008409I, 19781108022239I, 19841214074599I"
2 AIRCRAFT,VEHICLE,19841214074599I
2,CARDINAL,19841214074599I
CIRCUIT BREAKER HYDRAULIC PUMP,SYS,19841214074599I
FORWARD CARGO DOOR,SYS,19860128014289I
AIRCRAFT,VEHICLE,"19780402008409I, 19781108022239I, 19790211002709A, 19790718019229I, 19840821046409A, 19841214074599I, 19860128014289I, 19860706034879A, 19870309039779I, 19890725041869I, 19930530020029I, 19940412011509I, 19950314029269I, 19960322013629I, 20010421009329I, 20020619014309A, 20030607012509A, 20040304003309I, 20050429009279I, 20070202001609A, 20070630826079I"
WARNING LIGHT,SYS,19860128014289I
MR. TIMOTHY ALLEN WELLS,PER,20000215010329A
"PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R",PER,20000215010329A
"BELL HELICOPTER MODEL BHT-47-G5, N4754R",VEHICLE,20000215010329A
BELL HELICOPTER MODEL BHT-47-G5,VEHICLE,20000215010329A
BELL,ORG,20000215010329A
N4754R,VEHICLE,20000215010329A
FORCED LANDING,PHASE,"19780509032859I, 19801116083749I, 19840821046409A, 19871027060859A"
ONE ENGINE,SYS,19801116083749I
ONE,CARDINAL,"19801116083749I, 19870606018859A, 20051009024969I"
ICE,PROB,"19801116083749I, 19840121015319I"
AUXILIARY FUEL SYSTEM,SYS,19801116083749I
PILOT,PER,"19780111000459A, 19781113027039I, 19791128035159A, 19801005072789I, 19821117066379I, 19850315007389A, 19850418016709I, 19860706034879A, 19861114075329I, 19870309039779I, 19870523018729A, 19871027060859A, 19911222062669I, 19930530020029I, 19950216008379I, 19960504009509A, 19970908038069A, 19990714022959I, 19991230042089A, 20000215010329A, 20010421009329I, 20030620012809I, 20050429009279I, 20051009024969I, 20060621012279A, 20060718018299I"
LOWER ALTITUDE,LOC,19850315007389A
ICING,PROB,19850315007389A
ALTIMETER,SYS,"19850315007389A, 19861114075329I"
RAY AIRPORT,FAC,20070630826079I
CLIMB,PHASE,20070630826079I
AIRCRAFT ENGINE,SYS,20070630826079I
PROBLEMS,PROB,"19870309039779I, 20070630826079I"
FUEL,OPS,"19780509032859I, 19791128035159A, 19800804037399A, 19860706034879A, 19880527016939A, 19900425011659A, 19940226003029A, 19950804028629A, 19980508008619A, 20040925025079A"
FERRY FLIGHT,FLIGHT,19900425011659A
LEFT PONTOON,SYS,19900425011659A
POND,LOC,19900425011659A
FUEL CAP,SYS,"19900425011659A, 19901101064289I, 19940226003029A"
POWER,OPS,"19780509032859I, 19850418016709I, 19860706034879A, 19871027060859A, 19940226003029A, 19950804028629A, 19951031041599A, 19980508008619A, 19991230042089A, 20070202001609A"
LOOSE COWLING,SYS,19820725041999I
COWLING,SYS,"19780427013859I, 19820725041999I, 19980616023109I"
LAND,LOC,19820725041999I
CRACKED WINDSHIELD,SYS,19820725041999I
DENTED STABILIZER,SYS,19820725041999I
DESCENT,PHASE,19940412011509I
FLIGHT MANUAL,OPS,19940412011509I
TRUCK WINDSHIELD,SYS,19940412011509I
TRUCK,VEHICLE,19940412011509I
GROUND,LOC,"19870523018729A, 19940412011509I"
NR2 ENGINE FIRE,PROB,19971226042729I
PASSENGERS,PER,"19890723054159I, 19971226042729I"
GATE,FAC,"19971226042729I, 20000625032189I"
FUEL LEVER,SYS,19971226042729I
SMOKE,PROB,19971226042729I
HIGH OIL TEMP,PROB,19950619021589I
OIL,OPS,"19860530030499A, 19940818022409A, 19950619021589I, 20030620012809I"
SHEARED MAIN GEAR,SYS,19950619021589I
BATTERY COMPARTMENT DOOR,SYS,19940815046149I
ANTENNA,SYS,19940815046149I
WINDSHIELD,SYS,"19820725041999I, 19940412011509I, 19940815046149I"
NOSE GEAR,SYS,"19860228038269I, 19870319012959I"
PIN,SYS,"19860228038269I, 19870319012959I"
PREVIOUS MAINTENANCE,PROCEDURE,19860228038269I
GROUND STAND,FAC,19790718019229I
GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES,VEHICLE,19790718019229I
9 INCH TEAR IN FUSELAGE,PROB,19790718019229I
9 INCH,QUANTITY,19790718019229I
FUSELAGE,VEHICLE,"19790718019229I, 19821117066379I"
NORTHWEST AIRLINES DC-10,VEHICLE,20000625032189I
NORTHWEST AIRLINES,ORG,20000625032189I
BOEING,ORG,20000625032189I
GATE B-52,FAC,20000625032189I
CONTINENTAL AIRLINES,ORG,20000625032189I
ENGINE OVERHEAT,PROB,19860530030499A
HOT OIL SMELL,PROB,19860530030499A
AIR INTAKE PLUGS,SYS,19860530030499A
ACCESS DOOR,SYS,19821117066379I
DOOR,SYS,"19780913017419I, 19821117066379I, 19860128014289I, 19940815046149I, 19951031041599A, 19960524045629A, 19970523014439I, 20050504010229A"
RUNWAY,FAC,"19790211002709A, 19801005072789I, 19810303007119A, 19911222062669I, 19960418007829A, 20040304003309I"
LANDING,PHASE,"19780509032859I, 19801116083749I, 19810303007119A, 19840821046409A, 19860514036219I, 19860706034879A, 19871027060859A, 19890723054159I, 19950314029269I"
PARKED AIRPLANE,VEHICLE,19810303007119A
NEWLY INSTALLED CARPETING,SYS,19810303007119A
RUDDER PEDAL,SYS,19810303007119A
TAXIWAY,FAC,"19781113027039I, 19950602032329I, 20050429009279I"
DAMAGED PROP,SYS,19950602032329I
RIGHT TANK,SYS,19901101064289I
GAS,OPS,19901101064289I
CAP,SYS,"19800804037399A, 19900425011659A, 19901101064289I, 19940226003029A, 20030620012809I"
FLIGHT,FLIGHT,"19780427013859I, 19871027060859A, 19900425011659A, 19901101064289I, 19961027033759A, 19980415037339I, 20000215041409A"
"JULY 13, 2005",DATE,20050713014239I
1535 MST,TIME,20050713014239I
"RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",VEHICLE,20050713014239I
RAYTHEON AIRCRAFT CO.,ORG,20050713014239I
BONANZA,VEHICLE,20050713014239I
N3042V,VEHICLE,20050713014239I
HAVENS LEASING,ORG,20050713014239I
TANKS,SYS,"19850418016709I, 19860706034879A"
WATER IN FUEL,PROB,"19780509032859I, 19791128035159A, 19860706034879A, 19950804028629A"
ROAD,FAC,19840121015319I
SOLID ICE IN CARBURETOR BOWL,PROB,19840121015319I
CARBURETOR BOWL,SYS,19840121015319I
CLIMBOUT,PHASE,"19791128035159A, 19870523018729A, 19871211075169A, 19880527016939A, 19910710026989A, 19950527014439A, 19951031041599A"
TOW RELEASE,PHASE,19950527014439A
RIGHT AILERON,SYS,19950527014439A
MAINTENANCE,PROCEDURE,"19860228038269I, 19960322013629I"
GEAR,SYS,"19860228038269I, 19870319012959I, 19950619021589I, 19960322013629I, 19980415037339I, 20010910029739I"
NOSE BLOCK,SYS,19960322013629I
TRAILER TIE DOWN,OPS,19960504009509A
TRAILER,VEHICLE,"19780916024019A, 19960504009509A"
SKID,PROB,19960504009509A
LIFTOFF,PHASE,"19790211002709A, 19911222062669I"
SNOW BANK,LOC,19790211002709A
FROST ON AIRFRAME,PROB,19790211002709A
AIRFRAME,VEHICLE,"19790211002709A, 20040925025079A"
ENGINE POWER FAILURE,PROB,19850418016709I
ENGINE POWER,OPS,19850418016709I
AEROBATICS,FLIGHT,19850418016709I
FIELD,LOC,"19791128035159A, 19850418016709I, 19850729066139I"
FUEL TANKS,SYS,19850418016709I
ABORTED TAKEOFF,PHASE,19780913017419I
FRONT BAGGAGE DOOR,SYS,19780913017419I
MAG SWITCH,SYS,19870606018859A
ONE MAG,SYS,19870606018859A
FRONT RANGE AIRPORT,FAC,19990714022959I
START AND RUN,PROCEDURE,19990714022959I
"SIKORSKY S-70A, N160LA",VEHICLE,20050504010229A
SIKORSKY S-70A,VEHICLE,20050504010229A
SIKORSKY,ORG,20050504010229A
N160LA,VEHICLE,20050504010229A
VIBRATION,PROB,20050504010229A
APU DOOR,SYS,20050504010229A
MAIN ROTOR BLADE,SYS,20050504010229A
CARGO TRIP,FLIGHT,20050429009279I
INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,OPS,19890723054159I
CARGO DOOR,SYS,"19860128014289I, 19970523014439I"
MR. BOWEN,PER,19970523014439I
RUNWAY CONDITIONS,PROB,19970523014439I
STEVEN'S VILLAGE,GPE,19970523014439I
TIEDOWN CHAINS,OPS,19970908038069A
RAMP PERSON,PER,19970908038069A
SKIDS,SYS,19970908038069A
HIGH WIND,PROB,19970908038069A
BAGGAGE CART,VEHICLE,"19781108022239I, 19790718019229I"
PARKED AIRCRAFT,VEHICLE,"19780402008409I, 19781108022239I"
CART,VEHICLE,"19781108022239I, 19790718019229I"
GLIDER,VEHICLE,19760606015529A
NOSE HIGH ATTITUDE,PROB,19760606015529A
NOSE,SYS,19760606015529A
HELICOPTER ENGINE POWER CHECKS,PROCEDURE,20051009024969I
HELICOPTER ENGINE,SYS,20051009024969I
ONE CREWMEMBER,PER,20051009024969I
TAKEOFF ROLL,PROCEDURE,"19800506012169A, 19930530020029I, 19970828026989A"
PILOTS SEAT,SYS,"19890725041869I, 19930530020029I"
PILOTS,PER,"19890725041869I, 19930530020029I"
FLAT NOSE STRUT,SYS,19801230089799I
AIRPLANE STRUCTURE,SYS,19801230089799I
AIRPLANE,VEHICLE,"19800506012169A, 19801230089799I, 19810303007119A, 19960418007829A"
BELLCRANK,SYS,19801230089799I
SLOPE,LOC,19980508008619A
NO EVIDENCE OF FUEL AT SCENE,PROB,19980508008619A
LEFT ENGINE,SYS,19940818022409A
H71,FAC,19940818022409A
BAD OIL LEAK,PROB,19940818022409A
CRACKED ENGINE CASE,SYS,19940818022409A
2500 FT SOD STRIP,FAC,19920405008919A
2500 FT,QUANTITY,19920405008919A
GUSTY NORTH WIND,PROB,19920405008919A
STRIP,FAC,"19920405008919A, 19940226003029A"
CRASH,PROB,19840821046409A
ENGINE FAILURE,PROB,19840821046409A
ANNUAL INSPECTION,PROCEDURE,19840821046409A
"PILOT OF CESSNA 207, N1549U",PER,19950216008379I
"CESSNA 207, N1549U",VEHICLE,19950216008379I
CESSNA 207,VEHICLE,19950216008379I
CESSNA,ORG,19950216008379I
N1549U,VEHICLE,19950216008379I
TAKEOFF FROM THE BETHEL AIRPORT,PHASE,19950216008379I
BETHEL AIRPORT,FAC,19950216008379I
3 MILES FROM AIRPORT,LOC,19850525020799A
3 MILES,QUANTITY,19850525020799A
AIRPORT,FAC,"19850525020799A, 19950216008379I, 19950314029269I, 19990714022959I, 20030607012509A, 20070630826079I"
TCA,LOC,19861114075329I
ATC COMMUNICATION,OPS,19861114075329I
ATC,PER,19861114075329I
MALFUNCTIONING ENCODING ALTIMETER,SYS,19861114075329I
CRUISE FLIGHT,PHASE,20010421009329I
RPM LOSS,PROB,20010421009329I
NOSE BAGGAGE DOOR,SYS,"19951031041599A, 19960524045629A"
BAGGAGE,OPS,19960524045629A
LEFT PROP,SYS,19960524045629A
SEA,LOC,19960524045629A
ROUGH ENGINE,SYS,19871211075169A
CITY STREET,FAC,19871211075169A
SPARK PLUGS,SYS,19871211075169A
PRIMER,SYS,19871211075169A
TAXI OUT,PHASE,20010910029739I
CFI,PER,20010910029739I
NOSE LANDING GEAR GREEN LIGHT,SYS,20010910029739I
NOSE LANDING GEAR,SYS,"19980415037339I, 20010910029739I"
LIGHTS,SYS,20010910029739I
ELECTRIC POWER,OPS,19871027060859A
IFR DUAL FLIGHT,FLIGHT,19871027060859A
CIRCUIT BREAKER,SYS,19871027060859A
PILOT ERROR,PROB,"19870523018729A, 19871027060859A"
LOUD BANG,PROB,19980616023109I
SHUDDER,PROB,19980616023109I
SPARKS,PROB,19980616023109I
ROTOR,SYS,19980616023109I
ENGINE COWLING,SYS,"19780427013859I, 19980616023109I"
COWL,SYS,19980616023109I
PROBLEM,PROB,19910710026989A
NO LOCKING PINS IN SEAT TRACK,SYS,19910710026989A
SEAT TRACK,SYS,19910710026989A
SEAT PIN,SYS,19910710026989A
BELT,SYS,19910710026989A
POWER LOSS,PROB,19780509032859I
AILERON-ELEVATOR LOCK PIN,SYS,19800506012169A
RAIN SHOWER,PROB,19791128035159A
ROTATION,PHASE,20060621012279A
SEAT,SYS,"19890725041869I, 19930530020029I, 20060621012279A"
"MARCH 14, 1995",DATE,19950314029269I
"N7016M, AN AMATEUR BUILT AIRCRAFT",VEHICLE,19950314029269I
N7016M,VEHICLE,19950314029269I
AMATEUR BUILT AIRCRAFT,VEHICLE,19950314029269I
EMERGENCY OFF AIRPORT LANDING,PHASE,19950314029269I
EARLY FUEL EXHAUSTION FROM FUEL SIPHONING,PROB,19800804037399A
FUEL SIPHONING,PROB,19800804037399A
IMPROPERLY SECURED VENT CAP,SYS,19800804037399A
EMERGENCY LANDING AREA,LOC,19800804037399A
TAXIING AIRCRAFT,VEHICLE,19780402008409I
WORN OUT & INEFFECTIVE BRAKES,SYS,19780402008409I
ENGINE START,PHASE,19890725041869I
THROTTLE,SYS,19890725041869I
PARKED PLANE,VEHICLE,19890725041869I
RIGHT FUEL CAP,SYS,19911222062669I
BARTLESVILLE MUNICIPAL AIRPORT (BVO),FAC,20030607012509A
BVO,FAC,20030607012509A
BARTLESVILLE,GPE,20030607012509A
OK,GPE,20030607012509A
1147 AM LOCAL TIME,TIME,20030607012509A
REMAINING BRAKE,SYS,19801005072789I
WHEELS,SYS,19781210024199I
SEVERAL TOUCH AND GO LANDINGS,PHASE,19781210024199I
SNOW PACKED IN THE WHEEL PANTS,PROB,19781210024199I
WHEEL,SYS,19781210024199I
FLOATS,OPS,19950804028629A
LONGERON,SYS,19950804028629A
WATER IN SUMP,PROB,19950804028629A
SUMP,SYS,19950804028629A
NORMAL TOUCHDOWN,PHASE,20040304003309I
NOTH PLATTE,GPE,20070202001609A
NE,GPE,20070202001609A
IOWA CITY,GPE,20070202001609A
IA,GPE,20070202001609A
487 STATUTE MILES,QUANTITY,20070202001609A
NEAR GRINNELL,LOC,20070202001609A
GRINNELL,GPE,20070202001609A
TIE DOWN STRAP ACROSS LEFT SKID,OPS,19780916024019A
LEFT SKID,SYS,19780916024019A
THE PILOT IN COMMAND (PIC),PER,20060718018299I
PIC,PER,20060718018299I
ALL FUEL TANK CAPS,SYS,20060718018299I
DEPARTURE,PHASE,"19960418007829A, 20060718018299I"
FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER,PROB,20040925025079A
AIRFRAME FUEL FILTER,SYS,20040925025079A
FUEL FILTER,SYS,20040925025079A
ENGINE DRIVEN FUEL PUMP FILTER,SYS,20040925025079A
DEMO FLIGHT,FLIGHT,19961027033759A
CONNECTING ROD,SYS,19961027033759A
HYDRO LOCK IN NR5 CYL,SYS,19961027033759A
NR5 CYL,SYS,19961027033759A
STARTUP,PHASE,19961027033759A
COUNTER WT,SYS,19961027033759A
PORP SHAFT,SYS,19961027033759A
N106DA,VEHICLE,19870309039779I
BRAKE PROBLEMS ON THE AIRCRAFT,PROB,19870309039779I
