id,category,question,type,complexity,requires_synthesis,data_scope,context,ground_truth_answer,original_problem,frequency
root_cause_analysis_001,root_cause_analysis,What are the most frequent underlying causes of leakage issues that result in repeated maintenance actions?,analytical,medium,True,,,,,
root_cause_analysis_002,root_cause_analysis,Which maintenance oversights consistently lead to engine problems and how can these be mitigated effectively?,analytical,medium,True,,,,,
root_cause_analysis_003,root_cause_analysis,"What patterns emerge in incidents involving structural damage, and how do these correlate with maintenance actions taken?",analytical,medium,True,,,,,
root_cause_analysis_004,root_cause_analysis,"How do multiple factors combine to create recurring fastener issues, and what preventive measures can be implemented?",analytical,medium,True,,,,,
root_cause_analysis_005,root_cause_analysis,What are the common denominators in leakage issues that escalate into significant aircraft downtime?,analytical,medium,True,,,,,
root_cause_analysis_006,root_cause_analysis,"Which specific maintenance actions are most often associated with successful resolutions of engine problems, and why?",analytical,medium,True,,,,,
root_cause_analysis_007,root_cause_analysis,"What role do inspection and repair procedures play in preventing structural damage, and where are the gaps?",analytical,medium,True,,,,,
root_cause_analysis_008,root_cause_analysis,How does the combination of replacement and tightening action affect the recurrence of fastener issues over time?,analytical,medium,True,,,,,
predictive_maintenance_001,predictive_maintenance,"Based on historical patterns, what early warning signs indicate an increased likelihood of engine problems developing into more severe failures?",analytical,medium,True,,,,,
predictive_maintenance_002,predictive_maintenance,Which component combinations show the highest risk of recurring leakage issues and what preventive measures can be implemented to mitigate this risk?,analytical,medium,True,,,,,
predictive_maintenance_003,predictive_maintenance,"What maintenance intervals would prevent fastener issues from escalating into structural damage, considering current failure patterns?",analytical,medium,True,,,,,
predictive_maintenance_004,predictive_maintenance,How can we predict when structural damage is likely to occur by analyzing previous repair and inspection data?,analytical,medium,True,,,,,
predictive_maintenance_005,predictive_maintenance,"What indicators suggest imminent leakage issues, and how can these be monitored in real-time to prevent in-flight incidents?",analytical,medium,True,,,,,
predictive_maintenance_006,predictive_maintenance,What correlations exist between specific maintenance actions and the reduction in recurrence of engine problems across different aircraft types?,analytical,medium,True,,,,,
predictive_maintenance_007,predictive_maintenance,"How do inspection practices correlate with the early detection of fastener issues, and what improvements can be made to enhance their effectiveness?",analytical,medium,True,,,,,
predictive_maintenance_008,predictive_maintenance,"What predictive models can be developed to forecast the probability of 'other problems' leading to major failures, using current data on maintenance actions?",analytical,medium,True,,,,,
safety_recommendations_001,safety_recommendations,What procedural changes could most effectively reduce the incidence of leakage issues and engine problems?,analytical,medium,True,,,,,
safety_recommendations_002,safety_recommendations,How can targeted training for maintenance crews specifically address the root causes of fastener issues and structural damage?,analytical,medium,True,,,,,
safety_recommendations_003,safety_recommendations,What inspection protocols should be enhanced or introduced to better identify early signs of engine problems before they escalate?,analytical,medium,True,,,,,
safety_recommendations_004,safety_recommendations,In what ways can communication between maintenance teams and flight crews be improved to proactively address and reduce leakage issues?,analytical,medium,True,,,,,
safety_recommendations_005,safety_recommendations,What specific safety measures could be implemented to significantly lower the frequency of structural damage occurrences?,analytical,medium,True,,,,,
safety_recommendations_006,safety_recommendations,"Which maintenance actions are most effective at preventing the recurrence of fastener issues, and how can these be prioritized?",analytical,medium,True,,,,,
safety_recommendations_007,safety_recommendations,"What role does the timing and scheduling of maintenance checks play in the prevention of engine problems, and how can it be optimized?",analytical,medium,True,,,,,
safety_recommendations_008,safety_recommendations,How can data analytics tools be utilized to predict and prevent 'other problems' through pattern recognition in maintenance logs?,analytical,medium,True,,,,,
system_level_understanding_001,system_level_understanding,"How do engine problems and fastener issues correlate with specific maintenance actions, and what patterns emerge in their resolutions?",analytical,medium,True,,,,,
system_level_understanding_002,system_level_understanding,"What are the relationships between leakage issues and the frequency of inspections, and how can this inform proactive maintenance strategies?",analytical,medium,True,,,,,
system_level_understanding_003,system_level_understanding,"How does the distribution of common problems vary with aircraft type and age, and what implications does this have for targeted maintenance interventions?",analytical,medium,True,,,,,
system_level_understanding_004,system_level_understanding,"What are the systemic factors that contribute to the high incidence of structural damage, and how can predictive analytics enhance prevention efforts?",analytical,medium,True,,,,,
system_level_understanding_005,system_level_understanding,How do different maintenance actions like replacement and repair influence the recurrence rates of similar problems in the aircraft fleet?,analytical,medium,True,,,,,
system_level_understanding_006,system_level_understanding,"What patterns exist between the types of problems reported and the subsequent choice of maintenance actions, and how can this guide resource allocation?",analytical,medium,True,,,,,
system_level_understanding_007,system_level_understanding,"How do seasonal variations and environmental conditions impact the prevalence of leakage issues, and what preventive measures could mitigate these effects?",analytical,medium,True,,,,,
system_level_understanding_008,system_level_understanding,"What insights can be gleaned from comparing the effectiveness of tightening versus replacement in resolving fastener issues, and how should this influence future maintenance protocols?",analytical,medium,True,,,,,
comparative_analysis_001,comparative_analysis,How do failure patterns such as engine problems and leakage issues differ between commercial and cargo aircraft operations?,analytical,medium,True,,,,,
comparative_analysis_002,comparative_analysis,What are the key differences in maintenance actions taken for structural damage versus fastener issues across various aircraft models?,analytical,medium,True,,,,,
comparative_analysis_003,comparative_analysis,"Which aircraft types show the most variation in the frequency of leakage issues, and how does this impact overall maintenance strategies?",analytical,medium,True,,,,,
comparative_analysis_004,comparative_analysis,"How do incident rates of engine problems compare between different airline operators, and what maintenance practices contribute to these differences?",analytical,medium,True,,,,,
comparative_analysis_005,comparative_analysis,"What factors distinguish aircraft with high incidence of fastener issues from those with lower incidence, and how can this inform targeted maintenance interventions?",analytical,medium,True,,,,,
comparative_analysis_006,comparative_analysis,In what ways do maintenance actions such as replacement and repair differ in their effectiveness across different failure patterns like engine problems and structural damage?,analytical,medium,True,,,,,
comparative_analysis_007,comparative_analysis,How do seasonal variations impact the frequency of recurring issues like leakage and structural damage across different fleet types?,analytical,medium,True,,,,,
comparative_analysis_008,comparative_analysis,What are the comparative impacts on safety outcomes between relying more on inspections versus replacements in addressing common problems such as leakage issues and engine problems?,analytical,medium,True,,,,,
trend_analysis_001,trend_analysis,What trends are emerging in the frequency of engine problems compared to other common problems over the past year?,analytical,medium,True,,,,,
trend_analysis_002,trend_analysis,"How have maintenance actions evolved in response to leakage issues, and what does this imply for future preventive measures?",analytical,medium,True,,,,,
trend_analysis_003,trend_analysis,"What seasonal variations exist in the occurrence of fastener issues, and how might these affect maintenance schedules?",analytical,medium,True,,,,,
trend_analysis_004,trend_analysis,"How do failure rates correlate with the types of maintenance actions taken, and what does this indicate about the effectiveness of current strategies?",analytical,medium,True,,,,,
trend_analysis_005,trend_analysis,What long-term patterns suggest a need for more frequent inspections to mitigate structural damage?,analytical,medium,True,,,,,
trend_analysis_006,trend_analysis,What trends can be observed in the relationship between the rise in other problems and the corresponding maintenance actions?,analytical,medium,True,,,,,
trend_analysis_007,trend_analysis,"How have the types of problems identified in aircraft evolved over time, and what implications does this have for prioritizing maintenance resources?",analytical,medium,True,,,,,
trend_analysis_008,trend_analysis,What patterns in maintenance data indicate a potential shift in focus from reactive to proactive safety measures in aviation?,analytical,medium,True,,,,,
global_001,global_sensemaking,"What are the underlying patterns that contribute to the most frequent maintenance problems, such as leakage issues and engine problems?",global,high,True,entire_dataset,,,,
global_002,global_sensemaking,"How do maintenance anomalies correlate with specific aircraft types or models, and what does this reveal about design vulnerabilities?",global,high,True,entire_dataset,,,,
global_003,global_sensemaking,"What are the systemic factors contributing to structural damage, and how do they interact to increase risk?",global,high,True,entire_dataset,,,,
global_004,global_sensemaking,How do predictive maintenance strategies differ in their effectiveness across different regions or airline operations?,global,high,True,entire_dataset,,,,
global_005,global_sensemaking,"What are the common root causes identified in the dataset that lead to major maintenance issues, and how can they be mitigated?",global,high,True,entire_dataset,,,,
global_006,global_sensemaking,"Which maintenance problems have the strongest correlation with safety incidents, and what does this imply for prioritizing safety recommendations?",global,high,True,entire_dataset,,,,
global_007,global_sensemaking,"What are the emerging trends in fastener issues, and how do they relate to other maintenance problems over time?",global,high,True,entire_dataset,,,,
global_008,global_sensemaking,"How do the frequencies of different maintenance problems vary based on aircraft age, and what does this indicate about lifecycle management?",global,high,True,entire_dataset,,,,
global_009,global_sensemaking,What are the cross-cutting maintenance themes that suggest a need for system-level changes in maintenance protocols?,global,high,True,entire_dataset,,,,
global_010,global_sensemaking,"How do maintenance issues influence aircraft annotation discrepancies, and what systemic improvements are suggested?",global,high,True,entire_dataset,,,,
global_011,global_sensemaking,"Which factors contribute most significantly to successful predictive maintenance interventions, and how can they be optimized globally?",global,high,True,entire_dataset,,,,
global_012,global_sensemaking,"What are the overarching themes in safety recommendations, and how do they align with identified root causes and predictive strategies?",global,high,True,entire_dataset,,,,
global_013,global_sensemaking,"How do maintenance patterns differ between high-traffic and low-traffic routes, and what implications does this have for resource allocation?",global,high,True,entire_dataset,,,,
global_014,global_sensemaking,"What systemic relationships exist between various maintenance issues, and how do they inform a holistic understanding of aircraft safety?",global,high,True,entire_dataset,,,,
global_015,global_sensemaking,What patterns in maintenance data suggest opportunities for technological innovation to enhance safety and efficiency?,global,high,True,entire_dataset,,,,
maintenance_narratives_001,context_specific,"1. What common maintenance oversights or pilot errors contribute to the repeated operation of aircraft with known inoperative systems, such as the alternator issue in the Southern Wisconsin Regional record?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_002,context_specific,"2. How do pilot decision-making processes, such as continuing flights with known mechanical issues, impact the likelihood of subsequent mechanical failures or emergency situations?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_003,context_specific,"3. What are the recurring themes or patterns regarding the causes of landing gear failures, as indicated by incidents like the one at Chisholm-Hibbing, and how can they be addressed through better maintenance protocols?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_004,context_specific,"4. How does the lack of pre-flight checks and systems verification, such as ensuring generators are turned on, correlate with in-flight mechanical failures or emergencies?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_005,context_specific,"5. What role does fuel management and system operation play in engine reliability, as suggested by incidents involving rough running engines and fuel pump issues?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_006,context_specific,"6. How do pilot training and experience levels, such as those mentioned in records with private and airline transport pilots, influence the frequency and severity of maintenance-related incidents?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_007,context_specific,"7. What preventive maintenance strategies could be implemented to address the root causes of engine failures during critical phases of flight, such as go-arounds and precautionary landings?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_008,context_specific,"8. How does the interaction between electrical system failures and other aircraft systems contribute to broader operational risks, and what redundant systems could mitigate these risks?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_009,context_specific,"9. What are the commonalities in decision-making errors that lead to continued operation of aircraft with known deficiencies, and how can these be mitigated through improved pilot training and awareness programs?",contextual,medium,,maintenance_narratives,maintenance_narratives,,,
maintenance_narratives_010,context_specific,10. How can maintenance data from various incidents be systematically analyzed to develop predictive maintenance models that prevent similar failures in future operations?,contextual,medium,,maintenance_narratives,maintenance_narratives,,,
action_001,action_specific,What action could be taken when: #2 & 3 intakes leaking on r/h engine?,actionable,low,False,specific_incident,,REMOVED & REPLACED GASKETS.,#2 & 3 INTAKES LEAKING ON R/H ENGINE.,1.0
action_002,action_specific,What action could be taken when: replace l/h engine torquemeter hoses?,actionable,low,False,specific_incident,,LEAK CHECKED GOOD.,REPLACE L/H ENGINE TORQUEMETER HOSES.,1.0
action_003,action_specific,What action could be taken when: cyl #3 rocker cover is leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,CYL #3 ROCKER COVER IS LEAKING.,1.0
action_004,action_specific,What action could be taken when: eng died after landing?,actionable,low,False,specific_incident,,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM,ENG DIED AFTER LANDING.,1.0
action_005,action_specific,"What action could be taken when: engine overspeed, 2750 - 2760 rpm for 3-4 seconds?",actionable,low,False,specific_incident,,"RESEARCHED FDM CARD DATA, FOUND MAX RPM OF 2739.8; WHIC","ENGINE OVERSPEED, 2750 - 2760 RPM FOR 3-4 SECONDS.",1.0
action_006,action_specific,What action could be taken when: l/h eng #2 & 4 intake tube gaskets leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED W/ NEW GASKETS.,L/H ENG #2 & 4 INTAKE TUBE GASKETS LEAKING.,1.0
action_007,action_specific,"What action could be taken when: 2 baffle screws missing, above starter?",actionable,low,False,specific_incident,,INSTALLED SCREWS.,"2 BAFFLE SCREWS MISSING, ABOVE STARTER.",1.0
action_008,action_specific,What action could be taken when: #4 rocker cover gasket leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED ROCKER COVER GASKET.,#4 ROCKER COVER GASKET LEAKING.,2.0
action_009,action_specific,What action could be taken when: #2 intake gasket leaking?,actionable,low,False,specific_incident,,REPLACED #2 INTAKE GASKET W/ NEW.,#2 INTAKE GASKET LEAKING.,2.0
action_010,action_specific,What action could be taken when: cyl #2 intake gasket leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED INTAKE GASKET.,CYL #2 INTAKE GASKET LEAKING.,1.0
action_011,action_specific,What action could be taken when: #2 rocker cover gasket is leaking?,actionable,low,False,specific_incident,,REPLACED GASKET W/ NEW.,#2 ROCKER COVER GASKET IS LEAKING.,1.0
action_012,action_specific,What action could be taken when: oil seeping from top of case halves?,actionable,low,False,specific_incident,,CLEANED & SEALED LEAKING BOLT HOLE.,OIL SEEPING FROM TOP OF CASE HALVES.,1.0
action_013,action_specific,What action could be taken when: #4 cyl compression test was 35/80?,actionable,low,False,specific_incident,,STAKED VALVES - NO CHANGE IN COMPRESSION.,#4 CYL COMPRESSION TEST WAS 35/80.,1.0
action_014,action_specific,What action could be taken when: rear r/h engine baffle mount bracket rivets sheared?,actionable,low,False,specific_incident,,"DRILLED OUT SHEARED RIVET, INSTALLED NEW, REPAIR DONE I",REAR R/H ENGINE BAFFLE MOUNT BRACKET RIVETS SHEARED.,1.0
action_015,action_specific,What action could be taken when: #2 & 4 rocker covers are leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED GASKET.,#2 & 4 ROCKER COVERS ARE LEAKING.,1.0
action_016,action_specific,What action could be taken when: front & l/h engine baffle cracked?,actionable,low,False,specific_incident,,STOP DRILLED CRACK.,FRONT & L/H ENGINE BAFFLE CRACKED.,1.0
action_017,action_specific,What action could be taken when: cyl #2 & 4 intakes are leaking?,actionable,low,False,specific_incident,,REPLACED INTAKE GASKETS.,CYL #2 & 4 INTAKES ARE LEAKING.,1.0
action_018,action_specific,What action could be taken when: #3 baffle cracked?,actionable,low,False,specific_incident,,STOP DRILLED CRACK IN #3 ENG BAFFLE.,#3 BAFFLE CRACKED.,1.0
action_019,action_specific,What action could be taken when: baffle plug missing?,actionable,low,False,specific_incident,,INSTALLED PLUG.,BAFFLE PLUG MISSING.,1.0
action_020,action_specific,"What action could be taken when: while taxiing, engine quit & could not restart?",actionable,low,False,specific_incident,,STARTED A/C SEVERAL TIMES USING NORMAL PROCEDURES. PERF,"WHILE TAXIING, ENGINE QUIT & COULD NOT RESTART.",1.0
action_021,action_specific,What action could be taken when: #1 intake leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED INTAKE GASKET.,#1 INTAKE LEAKING.,2.0
action_022,action_specific,What action could be taken when: engine did not start?,actionable,low,False,specific_incident,,STARTED A/C NORMALLY.,ENGINE DID NOT START.,1.0
action_023,action_specific,What action could be taken when: #2 intake on r/h engine leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED W/ NEW GASKET.,#2 INTAKE ON R/H ENGINE LEAKING.,1.0
action_024,action_specific,What action could be taken when: l/h engine #3 rocker shaft plug worn?,actionable,low,False,specific_incident,,REPLACED PLUGS.,L/H ENGINE #3 ROCKER SHAFT PLUG WORN.,1.0
action_025,action_specific,What action could be taken when: baffle bracket cracked on #3 cylinder?,actionable,low,False,specific_incident,,REMOVED BAFFLE SECTION & OIL PRESSURE LINE. REPLACED BR,BAFFLE BRACKET CRACKED ON #3 CYLINDER.,1.0
action_026,action_specific,What action could be taken when: middle & r/h engine cowl need new chafe tape?,actionable,low,False,specific_incident,,REMOVED & REPLACED CHAFE TAPE AS NEEDED.,MIDDLE & R/H ENGINE COWL NEED NEW CHAFE TAPE.,1.0
action_027,action_specific,What action could be taken when: l/h eng #3 baffle (aft) seal loose?,actionable,low,False,specific_incident,,"SECURED #3 BAFFLE SEAL, L/H.",L/H ENG #3 BAFFLE (AFT) SEAL LOOSE.,1.0
action_028,action_specific,What action could be taken when: muffler missing nut?,actionable,low,False,specific_incident,,REPLACED NUT.,MUFFLER MISSING NUT.,1.0
action_029,action_specific,"What action could be taken when: power at idle, engine quit. restarted & tested idle w/ full?",actionable,low,False,specific_incident,,RAN UP A/C ENGINE. ADJUSTED IDLE SPEED. IDLE MIXTURE CH,"POWER AT IDLE, ENGINE QUIT. RESTARTED & TESTED IDLE W/ FULL",1.0
action_030,action_specific,What action could be taken when: l/h side baffle is cracked?,actionable,low,False,specific_incident,,REPLACED L/H SIDE BAFFLE W/ SERVICEABLE PART.,L/H SIDE BAFFLE IS CRACKED.,1.0
action_031,action_specific,What action could be taken when: cyl #4 rocker cover gasket leaking?,actionable,low,False,specific_incident,,REMOVED & REPLACED ROCKER COVER GASKET.,CYL #4 ROCKER COVER GASKET LEAKING.,2.0
action_032,action_specific,What action could be taken when: r/h baffle plug needs to be replaced?,actionable,low,False,specific_incident,,INSTALLED NEW BAFFLE PLUG.,R/H BAFFLE PLUG NEEDS TO BE REPLACED.,1.0
action_033,action_specific,What action could be taken when: l/h cooling baffle connecting rod broken?,actionable,low,False,specific_incident,,INSTALLED NEW CONNECTING ROD ON COOLING BAFFLE.,L/H COOLING BAFFLE CONNECTING ROD BROKEN.,1.0
action_034,action_specific,What action could be taken when: #4 cyl has no compression?,actionable,low,False,specific_incident,,"INSTALLED NEW GASKET, LEAK CK GOOD.",#4 CYL HAS NO COMPRESSION.,1.0
action_035,action_specific,What action could be taken when: #3 baffle needs to be patched. button plug hole has worn too?,actionable,low,False,specific_incident,,INSTALLED RIVETED PATCH & REPLACED BOTH BAFFLE PLUGS.,#3 BAFFLE NEEDS TO BE PATCHED. BUTTON PLUG HOLE HAS WORN TOO,1.0
action_036,action_specific,What action could be taken when: l/h engine baffle seal above #4 cylinder is torn?,actionable,low,False,specific_incident,,INSTALLED NEW SEAL.,L/H ENGINE BAFFLE SEAL ABOVE #4 CYLINDER IS TORN.,1.0
action_037,action_specific,"What action could be taken when: l/h eng #2, 3 rocker cover gaskets are leaking?",actionable,low,False,specific_incident,,REMOVED & REPLACED ROCKER COVER GASKETS.,"L/H ENG #2, 3 ROCKER COVER GASKETS ARE LEAKING.",1.0
action_038,action_specific,What action could be taken when: #1 rocker cover leaking on l/h engine?,actionable,low,False,specific_incident,,REMOVED & REPLACED GAKSET.,#1 ROCKER COVER LEAKING ON L/H ENGINE.,1.0
action_039,action_specific,What action could be taken when: cyl #3 aft baffle has sheared rivet?,actionable,low,False,specific_incident,,REMOVED AFT BAFFLE & OIL PSI LINE. REPLACED RIVET. INST,CYL #3 AFT BAFFLE HAS SHEARED RIVET.,1.0
action_040,action_specific,What action could be taken when: l/h eng corner bracket on l/h rear baffle is cracked?,actionable,low,False,specific_incident,,REMOVED & REPLACED BRACKET.,L/H ENG CORNER BRACKET ON L/H REAR BAFFLE IS CRACKED.,1.0
action_041,action_specific,What action could be taken when: hardware missing from aft r/h baffle?,actionable,low,False,specific_incident,,INSTALLED NEW HARDWARE.,HARDWARE MISSING FROM AFT R/H BAFFLE.,1.0
action_042,action_specific,What action could be taken when: bolt on top of engine case shows signs of leaking?,actionable,low,False,specific_incident,,SEALED BOLT W/ HIGH TEMP RTV.,BOLT ON TOP OF ENGINE CASE SHOWS SIGNS OF LEAKING.,1.0
action_043,action_specific,What action could be taken when: l/h eng #1 rocker cover gasket leaking?,actionable,low,False,specific_incident,,REMOVED OLD GASKET & REPLACED W/ NEW.,L/H ENG #1 ROCKER COVER GASKET LEAKING.,1.0
action_044,action_specific,What action could be taken when: l/h eng baffle tie rod wire hitting both o/b clamps?,actionable,low,False,specific_incident,,DAMAGE NEG. ADJUSTED TOWARD I/B & ADJ CLAMPS OUT OF THE,L/H ENG BAFFLE TIE ROD WIRE HITTING BOTH O/B CLAMPS.,1.0
action_045,action_specific,What action could be taken when: sniffler valves dirty?,actionable,low,False,specific_incident,,CLEANED SNIFFLER VALVES.,SNIFFLER VALVES DIRTY.,2.0
action_046,action_specific,What action could be taken when: #1 & 3 cylinder lower baffle is cracked?,actionable,low,False,specific_incident,,"REMOVED #1 CYL INTAKE TUBE, REMOVED & REPLACED BAFFLE.",#1 & 3 CYLINDER LOWER BAFFLE IS CRACKED.,1.0
action_047,action_specific,What action could be taken when: #1 cyl has low compression (30/80)?,actionable,low,False,specific_incident,,REMOVED ROCKER COVER & STAKED VALVE W/ NO EFFECT.,#1 CYL HAS LOW COMPRESSION (30/80).,1.0
action_048,action_specific,"What action could be taken when: prop overspeed in down draft = 2730 rpm, 2-3 secs?",actionable,low,False,specific_incident,,PULLED & ANALYZED SD CARD TO FIND TOP OVERSPEED OF 2722,"PROP OVERSPEED IN DOWN DRAFT = 2730 RPM, 2-3 SECS.",1.0
action_049,action_specific,What action could be taken when: r/h engine #4 cyl aft baffle has screw missing?,actionable,low,False,specific_incident,,REPLACED SCREW.,R/H ENGINE #4 CYL AFT BAFFLE HAS SCREW MISSING.,1.0
action_050,action_specific,What action could be taken when: l/h eng oil cooler hose is positioned too close to oil filte?,actionable,low,False,specific_incident,,LEAK CK GOOD.,L/H ENG OIL COOLER HOSE IS POSITIONED TOO CLOSE TO OIL FILTE,1.0
aircraft_problems_actions_001,context_specific,"1. What are the common factors contributing to gasket leaks across different engine components, such as intake and rocker covers, and what preventive measures can be implemented to address these issues?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_002,context_specific,"2. How frequently do incidents of missing or loose screws, such as the baffle screw, occur, and what inspection protocols can be enhanced to ensure such components are secured properly during routine checks?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_003,context_specific,"3. What environmental or operational conditions lead to the rough engine incidents, and how can regular maintenance practices be adjusted to detect and rectify these issues before they manifest during operations?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_004,context_specific,"4. To what extent do cleanliness and maintenance of oil coolers affect engine performance and longevity, and how can regular cleaning schedules be optimized to prevent related engine problems?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_005,context_specific,"5. Are there any recurring patterns in the types of engine components that experience leakage, and how can material improvements or redesigns help mitigate these leakage issues?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_006,context_specific,"6. How do engine temperature fluctuations impact the integrity of gaskets and seals, and what monitoring systems can be implemented to detect early signs of wear or failure?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_007,context_specific,"7. What historical data correlates missing or loose components, like screws, with specific maintenance routines or personnel, and how can training or procedural adjustments reduce these occurrences?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_008,context_specific,"8. How do the frequencies of different types of engine problems vary with aircraft usage patterns, and what predictive maintenance strategies can be implemented to address the most common issues preemptively?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_009,context_specific,"9. What are the implications of not finding defects after reports of rough engine operation, and how can diagnostic technologies be improved to better identify subtle or intermittent issues?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
aircraft_problems_actions_010,context_specific,"10. What role do manufacturer guidelines and maintenance documentation play in the recurrence of specific problems, and how can these resources be enhanced to provide clearer guidance and preventive strategies?",contextual,medium,,aircraft_problems_actions,aircraft_problems_actions,,,
